Mean,Std,Contrast,Sharpness,EdgeStrength,NoiseLevel,Patient,Modality
0.09148350358009338,0.2068893164396286,1.0,0.013354957103729248,0.47209683060646057,0.026620611548423767,BraTS20_Training_001,t1
0.05768192186951637,0.12089253962039948,1.0,0.009311151690781116,0.2933201491832733,0.02090265043079853,BraTS20_Training_001,t1ce
0.06548526883125305,0.14893442392349243,1.0,0.010262981057167053,0.37216317653656006,0.02275669574737549,BraTS20_Training_001,t2
0.06463424861431122,0.14305618405342102,1.0,0.008917659521102905,0.3344011902809143,0.02178889699280262,BraTS20_Training_001,flair
0.10631909221410751,0.2250281274318695,1.0,0.016329649835824966,0.5441021919250488,0.029051125049591064,BraTS20_Training_002,t1
0.0730208307504654,0.1457471400499344,1.0,0.015366298146545887,0.36397019028663635,0.0263238362967968,BraTS20_Training_002,t1ce
0.06860139220952988,0.1433596909046173,1.0,0.016697358340024948,0.42894425988197327,0.02788447216153145,BraTS20_Training_002,t2
0.07159311324357986,0.1446637511253357,1.0,0.010627957060933113,0.364940881729126,0.024223610758781433,BraTS20_Training_002,flair
0.08946448564529419,0.2088298797607422,1.0,0.01571005769073963,0.45791974663734436,0.027840817347168922,BraTS20_Training_003,t1
0.05462835729122162,0.11596889048814774,1.0,0.011011496186256409,0.2570285201072693,0.021641192957758904,BraTS20_Training_003,t1ce
0.05904388427734375,0.13652172684669495,1.0,0.015309976413846016,0.4077968895435333,0.027720825746655464,BraTS20_Training_003,t2
0.07488900423049927,0.16888639330863953,1.0,0.008515297435224056,0.34350040555000305,0.02177734486758709,BraTS20_Training_003,flair
0.09840545058250427,0.206358402967453,1.0,0.012563693337142467,0.4823705852031708,0.025693759322166443,BraTS20_Training_004,t1
0.06244247034192085,0.1212109848856926,1.0,0.011410968378186226,0.288063645362854,0.022157074883580208,BraTS20_Training_004,t1ce
0.06762947142124176,0.14258146286010742,1.0,0.014883534982800484,0.407349556684494,0.02632036618888378,BraTS20_Training_004,t2
0.07126818597316742,0.1471930593252182,1.0,0.011618192307651043,0.39073485136032104,0.025139205157756805,BraTS20_Training_004,flair
0.09041397273540497,0.19702638685703278,1.0,0.010826890356838703,0.4634617567062378,0.024259353056550026,BraTS20_Training_005,t1
0.06035715714097023,0.12201520055532455,1.0,0.01165472436696291,0.3018675148487091,0.022993342950940132,BraTS20_Training_005,t1ce
0.06824106723070145,0.15228398144245148,1.0,0.02608107216656208,0.537591278553009,0.03591185063123703,BraTS20_Training_005,t2
0.06213478744029999,0.12947174906730652,1.0,0.013585631735622883,0.4044432044029236,0.027520745992660522,BraTS20_Training_005,flair
0.0980866402387619,0.21072149276733398,1.0,0.01604383811354637,0.5095611810684204,0.028248589485883713,BraTS20_Training_006,t1
0.07375773787498474,0.15116532146930695,1.0,0.015603242442011833,0.3657532334327698,0.02608925849199295,BraTS20_Training_006,t1ce
0.06826438754796982,0.1497393250465393,1.0,0.02311890758574009,0.4735211730003357,0.0327463299036026,BraTS20_Training_006,t2
0.06775379925966263,0.14349880814552307,1.0,0.01377200148999691,0.3915857970714569,0.027066031470894814,BraTS20_Training_006,flair
0.09216538071632385,0.20727144181728363,1.0,0.016789941117167473,0.4955650866031647,0.028602274134755135,BraTS20_Training_007,t1
0.061071041971445084,0.12731853127479553,1.0,0.013099933974444866,0.3162245452404022,0.024277037009596825,BraTS20_Training_007,t1ce
0.06749142706394196,0.15104688704013824,1.0,0.02601340413093567,0.485800564289093,0.03459871932864189,BraTS20_Training_007,t2
0.06354691833257675,0.13689246773719788,1.0,0.017597263678908348,0.39330822229385376,0.02914595790207386,BraTS20_Training_007,flair
0.10229746997356415,0.21972237527370453,1.0,0.012790769338607788,0.5757883191108704,0.027872290462255478,BraTS20_Training_008,t1
0.07121007144451141,0.14391769468784332,1.0,0.013220158405601978,0.3822760283946991,0.025809714570641518,BraTS20_Training_008,t1ce
0.07528918981552124,0.1633678674697876,1.0,0.019556846469640732,0.5705618262290955,0.032829649746418,BraTS20_Training_008,t2
0.07697653770446777,0.1568933129310608,1.0,0.005205645691603422,0.3384425938129425,0.017535526305437088,BraTS20_Training_008,flair
0.0913231372833252,0.2061186581850052,1.0,0.0162995345890522,0.47256624698638916,0.028369752690196037,BraTS20_Training_009,t1
